id,name,type,is_seed
joanrue/chunked-fft,chunked-fft,repo,False
joanrue/cmp3-dev,cmp3-dev,repo,False
joanrue/connectome-spectral-analysis,connectome-spectral-analysis,repo,False
joanrue/connectomemapper3,connectomemapper3,repo,False
joanrue/deconvolution,deconvolution,repo,False
joanrue/efficient_convolution,efficient_convolution,repo,False
joanrue/intrinsic-manifolds,intrinsic-manifolds,repo,False
joanrue/nvidia_dockerfiles,nvidia_dockerfiles,repo,False
joanrue/memory_profiler,memory_profiler,repo,False
joanrue/orientation,orientation,repo,False
joanrue/cupy,cupy,repo,False
joanrue/PyCartool,PyCartool,repo,False
joanrue/pycsou,pycsou,repo,False
joanrue/pycsou-gsp,pycsou-gsp,repo,False
joanrue/pycsou-mock-1,pycsou-mock-1,repo,False
joanrue/pycsou-mock-gd,pycsou-mock-gd,repo,False
joanrue/pycsou-mock-plugin-1,pycsou-mock-plugin-1,repo,False
joanrue/pydynet,pydynet,repo,False
joanrue/pyxu-eigh,pyxu-eigh,repo,False
joanrue/pyxu-gradient-descent,pyxu-gradient-descent,repo,False
joanrue/radio-astro-diffusers,radio-astro-diffusers,repo,False
joanrue/Source_Reconstruction_DS001,Source_Reconstruction_DS001,repo,False
joanrue/tart-hvox,tart-hvox,repo,False
joanrue/weakly_convex_ridge_regularizer,weakly_convex_ridge_regularizer,repo,False
joanrue/trove-classifiers,trove-classifiers,repo,False
SepandKashani/audio_tools,audio_tools,repo,False
SepandKashani/ci_101_deconv,ci_101_deconv,repo,False
SepandKashani/dvc_experiments,dvc_experiments,repo,False
SepandKashani/finufft,finufft,repo,False
SepandKashani/drjit,drjit,repo,False
SepandKashani/fourier_toolkit,fourier_toolkit,repo,False
SepandKashani/ndarray,ndarray,repo,False
SepandKashani/pyxu_nufft,pyxu_nufft,repo,False
SepandKashani/scientific-visualization-book,scientific-visualization-book,repo,False
SepandKashani/sdr,sdr,repo,False
SepandKashani/tcv_experiments,tcv_experiments,repo,False
